Comparison between YOLO and RCNN on real world videos
"Show, Infer & Tell: Contextual Inference for Creative Captioning"
Awesome Graph Classification
Awesome Monte Carlo Tree Search
AttentionWalk
APPNP and PPNP
Attributed Social Network Embedding
Signed Graph Convolutional Network
SimGNN
Using JAX to Improve Separable Image Filters
Coloring Greyscale Images
Fruit Detection using Convolution Neural Networks in TensorFlow
Face Verification
Sign Language Interpreter using Deep Learning
The Illustrated Self-Supervised Learning
GradCAM for the BreaKHis Dataset
Message Passing GNNs C++
Rethinking Batch Normalization in Transformers
Pytest Board
Image Spam Buster - Kreate Hackathon
Bachelorette Predictor
Gender Change of People's Face using CycleGAN
ELECTRA: Pre-training Text Encoders as Discriminators
Tuned ALBERT (ensemble model)
iyasai: Book Recommendation System
Learning to See before Learning to Act: Visual Pre-training
SOLT: Data Augmentation for Deep Learning
PCDet: 3D Point Cloud Detection
SiamFC++: Towards Robust and Accurate Visual Tracking
Sinext
Gliding Vertex on Horizontal Bounding Box for Object Detection
Deep Reinforcement Learning in TensorFlow2
Custom Classifier on Top of Bert-like Language Model
Using Different Decoding Methods for LM with Transformers
Unsupervised Toolbox
Multimodal Brain Tumor Segmentation
A Survey of Long-Term Context in Transformers
Debugging Neural Networks with PyTorch and W&B
BachGAN: High-Res Image Synthesis from Salient Object Layout
Visual Paper Summary: ALBERT(A Lite BERT)
Controllable Person Image Synthesis with Attribute-Decomposed GAN
Back Translation for Text Augmentation with Google Sheets
An Illustrated Guide to Graph Neural Networks
The Illustrated FixMatch for Semi-Supervised Learning
A Two-Step Graph Convolutional Decoder for Molecule Generation
TransMoMo: Invariance-Driven Unsupervised Motion Retargeting
Tracking Objects as Points
Drifter-ML
Natural Language Processing News
NLP Newsletter
Self-Supervised Scene De-occlusion
Design Patterns for Production NLP Systems
Talking-Heads Attention
What does a CNN see?
Natural Language Processing: Pretraining - d2l
Understanding Convolutional Neural Networks for NLP
An Overview of Semantic Image Segmentation
Common Architectures in Convolutional Neural Networks
Googletrans
Prophet: Forecasting At Scale
Doccano
BRAT: Rapid Annotation Tool
Word Embeddings
On Word Embeddings
NLP for Developers: Word Embeddings | Rasa
NLP for Developers: Transformers | Rasa
A Visual Guide to Using BERT for the First Time
The Illustrated GPT-2 (Visualizing Transformer Language Models)
The Illustrated Word2vec
"The Illustrated BERT, ELMo, and co."
The Illustrated Transformer
